offense,number,cleared,cleared_under_18,month,year
c. Other Dangerous Weapon,151,107,3,8,2015
"d. Hands, Fists, Feet, Etc. - Aggravated injury",102,74,6,8,2015
Aggravated Assault Total,418,274,16,8,2015
"4e. Other Assaults - Simple, Not Aggravated","2,399","1,762",128,8,2015
5. Burglary Total,"1,032",137,14,8,2015
a. Forcible Entry,537,70,5,8,2015
b. Unlawful Entry - No Force,382,54,8,8,2015
c. Attempted Forcible Entry,113,13,1,8,2015
6. Larceny - Theft Total,"4,731",972,87,8,2015
7. Motor Vehicle Theft Total,645,63,19,8,2015
a. Autos,510,54,14,8,2015
b. Trucks and Buses,31,1,,8,2015
c. Other Vehicles,104,8,5,8,2015
8. Arson,27,4,2,8,2015
9. Human Trafficking - Commercial Sex Act,,,,8,2015
10. Human Trafficking - Involuntary Servitude,,,,8,2015
Grand Total,"9,610","3,306",280,8,2015
Index Violent Crime,776,368,30,8,2015
Index Property Crime,"6,435","1,176",122,8,2015
Part I Crime (Index Crime),"7,211","1,544",152,8,2015
1. Criminal Homicide,8,8,,9,2015
a. Murder and Nonnegligent Homicide,8,8,,9,2015
b. Manslaughter by Negligence,,,,9,2015
2. Forcible Rape Total,77,21,5,9,2015
a. Rape by Force,75,21,5,9,2015
b. Attempts to commit Forcible Rape,2,,,9,2015
3. Robbery Total,244,85,12,9,2015
a. Firearm,59,23,4,9,2015
b. Knife or Cutting Instrument,37,12,,9,2015
c. Other Dangerous Weapon,22,8,3,9,2015
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",126,42,5,9,2015
4. Assault Total,"2,597","1,720",178,9,2015
a. Firearm,57,22,,9,2015
b. Knife or Cutting Instrument,77,59,1,9,2015
c. Other Dangerous Weapon,126,59,5,9,2015
"d. Hands, Fists, Feet, Etc. - Aggravated injury",78,48,4,9,2015
Aggravated Assault Total,338,188,10,9,2015
"4e. Other Assaults - Simple, Not Aggravated","2,259","1,532",168,9,2015
5. Burglary Total,"1,169",169,23,9,2015
a. Forcible Entry,695,85,9,9,2015
b. Unlawful Entry - No Force,384,71,13,9,2015
c. Attempted Forcible Entry,90,13,1,9,2015
6. Larceny - Theft Total,"4,601",931,73,9,2015
7. Motor Vehicle Theft Total,654,72,16,9,2015
a. Autos,536,56,14,9,2015
b. Trucks and Buses,24,1,,9,2015
c. Other Vehicles,94,15,2,9,2015
8. Arson,23,3,1,9,2015
9. Human Trafficking - Commercial Sex Act,,,,9,2015
10. Human Trafficking - Involuntary Servitude,,,,9,2015
Grand Total,"9,373","3,009",308,9,2015
Index Violent Crime,667,302,27,9,2015
Index Property Crime,"6,447","1,175",113,9,2015
Part I Crime (Index Crime),"7,114","1,477",140,9,2015
1. Criminal Homicide,8,4,,10,2015
a. Murder and Nonnegligent Homicide,6,4,,10,2015
b. Manslaughter by Negligence,2,,,10,2015
2. Forcible Rape Total,86,27,3,10,2015
a. Rape by Force,81,27,3,10,2015
b. Attempts to commit Forcible Rape,5,,,10,2015
3. Robbery Total,237,67,8,10,2015
a. Firearm,67,13,2,10,2015
b. Knife or Cutting Instrument,23,5,,10,2015
c. Other Dangerous Weapon,28,7,1,10,2015
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",119,42,5,10,2015
4. Assault Total,"2,543","1,756",221,10,2015
a. Firearm,57,17,1,10,2015
b. Knife or Cutting Instrument,69,45,10,10,2015
c. Other Dangerous Weapon,115,82,7,10,2015
"d. Hands, Fists, Feet, Etc. - Aggravated injury",99,69,7,10,2015
Aggravated Assault Total,340,213,25,10,2015
"4e. Other Assaults - Simple, Not Aggravated","2,203","1,543",196,10,2015
5. Burglary Total,934,163,13,10,2015
a. Forcible Entry,507,82,8,10,2015
b. Unlawful Entry - No Force,351,70,3,10,2015
c. Attempted Forcible Entry,76,11,2,10,2015
6. Larceny - Theft Total,"4,348",941,72,10,2015
7. Motor Vehicle Theft Total,561,57,13,10,2015
a. Autos,467,43,9,10,2015
b. Trucks and Buses,14,2,,10,2015
c. Other Vehicles,80,12,4,10,2015
8. Arson,22,7,3,10,2015
9. Human Trafficking - Commercial Sex Act,,,,10,2015
10. Human Trafficking - Involuntary Servitude,,,,10,2015
Grand Total,"8,739","3,022",333,10,2015
Index Violent Crime,669,311,36,10,2015
Index Property Crime,"5,865","1,168",101,10,2015
Part I Crime (Index Crime),"6,534","1,479",137,10,2015
1. Criminal Homicide,10,8,,11,2015
a. Murder and Nonnegligent Homicide,10,7,,11,2015
b. Manslaughter by Negligence,,1,,11,2015
2. Forcible Rape Total,76,20,3,11,2015
a. Rape by Force,74,20,3,11,2015
b. Attempts to commit Forcible Rape,2,,,11,2015
3. Robbery Total,244,65,9,11,2015
a. Firearm,60,7,,11,2015
b. Knife or Cutting Instrument,39,8,1,11,2015
c. Other Dangerous Weapon,25,9,1,11,2015
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",120,41,7,11,2015
4. Assault Total,"2,277","1,623",191,11,2015
a. Firearm,49,17,,11,2015
b. Knife or Cutting Instrument,76,51,4,11,2015
c. Other Dangerous Weapon,110,77,2,11,2015
"d. Hands, Fists, Feet, Etc. - Aggravated injury",91,62,5,11,2015
Aggravated Assault Total,326,207,11,11,2015
"4e. Other Assaults - Simple, Not Aggravated","1,951","1,416",180,11,2015
5. Burglary Total,872,121,6,11,2015
a. Forcible Entry,497,54,4,11,2015
b. Unlawful Entry - No Force,285,56,2,11,2015
c. Attempted Forcible Entry,90,11,,11,2015
6. Larceny - Theft Total,"4,018",870,78,11,2015
7. Motor Vehicle Theft Total,653,51,11,11,2015
a. Autos,581,45,10,11,2015
b. Trucks and Buses,15,,,11,2015
c. Other Vehicles,57,6,1,11,2015
8. Arson,34,12,3,11,2015
9. Human Trafficking - Commercial Sex Act,,,,11,2015
10. Human Trafficking - Involuntary Servitude,,,,11,2015
Grand Total,"8,184","2,770",301,11,2015
Index Violent Crime,656,299,23,11,2015
Index Property Crime,"5,577","1,054",98,11,2015
Part I Crime (Index Crime),"6,233","1,353",121,11,2015
1. Criminal Homicide,21,15,,12,2015
a. Murder and Nonnegligent Homicide,21,15,,12,2015
b. Manslaughter by Negligence,,,,12,2015
2. Forcible Rape Total,58,28,5,12,2015
a. Rape by Force,57,26,5,12,2015
b. Attempts to commit Forcible Rape,1,2,,12,2015
3. Robbery Total,250,85,6,12,2015
a. Firearm,97,21,,12,2015
b. Knife or Cutting Instrument,20,9,1,12,2015
c. Other Dangerous Weapon,21,8,,12,2015
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",112,47,5,12,2015
4. Assault Total,"2,286","1,716",184,12,2015
a. Firearm,52,15,1,12,2015
b. Knife or Cutting Instrument,52,36,,12,2015
c. Other Dangerous Weapon,92,63,5,12,2015
"d. Hands, Fists, Feet, Etc. - Aggravated injury",83,68,8,12,2015
Aggravated Assault Total,279,182,14,12,2015
"4e. Other Assaults - Simple, Not Aggravated","2,007","1,534",170,12,2015
5. Burglary Total,925,213,16,12,2015
a. Forcible Entry,568,155,8,12,2015
b. Unlawful Entry - No Force,280,47,7,12,2015
c. Attempted Forcible Entry,77,11,1,12,2015
6. Larceny - Theft Total,"4,419","1,023",96,12,2015
7. Motor Vehicle Theft Total,643,58,18,12,2015
a. Autos,600,53,18,12,2015
b. Trucks and Buses,21,1,,12,2015
c. Other Vehicles,22,4,,12,2015
8. Arson,21,5,2,12,2015
9. Human Trafficking - Commercial Sex Act,,,,12,2015
10. Human Trafficking - Involuntary Servitude,,,,12,2015
Grand Total,"8,623","3,143",327,12,2015
Index Violent Crime,608,310,25,12,2015
Index Property Crime,"6,008","1,299",132,12,2015
Part I Crime (Index Crime),"6,616","1,609",157,12,2015
1. Criminal Homicide,4,7,1,1,2016
a. Murder and Nonnegligent Homicide,3,6,1,1,2016
b. Manslaughter by Negligence,1,1,,1,2016
2. Forcible Rape Total,74,16,3,1,2016
a. Rape by Force,72,14,3,1,2016
b. Attempts to commit Forcible Rape,2,2,,1,2016
3. Robbery Total,233,79,8,1,2016
a. Firearm,90,26,3,1,2016
b. Knife or Cutting Instrument,25,8,1,1,2016
c. Other Dangerous Weapon,15,5,,1,2016
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",103,40,4,1,2016
4. Assault Total,"2,403","1,751",189,1,2016
a. Firearm,45,14,2,1,2016
b. Knife or Cutting Instrument,97,53,2,1,2016
c. Other Dangerous Weapon,94,60,3,1,2016
"d. Hands, Fists, Feet, Etc. - Aggravated injury",85,57,2,1,2016
Aggravated Assault Total,321,184,9,1,2016
"4e. Other Assaults - Simple, Not Aggravated","2,082","1,567",180,1,2016
5. Burglary Total,784,127,11,1,2016
a. Forcible Entry,493,69,6,1,2016
b. Unlawful Entry - No Force,223,50,4,1,2016
c. Attempted Forcible Entry,68,8,1,1,2016
6. Larceny - Theft Total,"3,932",942,65,1,2016
7. Motor Vehicle Theft Total,566,82,19,1,2016
a. Autos,517,76,18,1,2016
b. Trucks and Buses,21,3,,1,2016
c. Other Vehicles,28,3,1,1,2016
8. Arson,22,7,4,1,2016
9. Human Trafficking - Commercial Sex Act,,,,1,2016
10. Human Trafficking - Involuntary Servitude,,,,1,2016
Grand Total,"8,018","3,011",300,1,2016
Index Violent Crime,631,285,21,1,2016
Index Property Crime,"5,304","1,158",99,1,2016
Part I Crime (Index Crime),"5,935","1,443",120,1,2016
1. Criminal Homicide,6,3,,2,2016
a. Murder and Nonnegligent Homicide,5,3,,2,2016
b. Manslaughter by Negligence,1,,,2,2016
2. Forcible Rape Total,59,27,6,2,2016
a. Rape by Force,59,27,6,2,2016
b. Attempts to commit Forcible Rape,,,,2,2016
3. Robbery Total,162,68,6,2,2016
a. Firearm,57,21,2,2,2016
b. Knife or Cutting Instrument,14,7,,2,2016
c. Other Dangerous Weapon,14,6,,2,2016
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",77,34,4,2,2016
4. Assault Total,"2,093","1,534",137,2,2016
a. Firearm,43,12,1,2,2016
b. Knife or Cutting Instrument,75,48,3,2,2016
c. Other Dangerous Weapon,98,71,8,2,2016
"d. Hands, Fists, Feet, Etc. - Aggravated injury",89,81,7,2,2016
Aggravated Assault Total,305,212,19,2,2016
"4e. Other Assaults - Simple, Not Aggravated","1,788","1,322",118,2,2016
5. Burglary Total,553,114,9,2,2016
a. Forcible Entry,316,63,6,2,2016
b. Unlawful Entry - No Force,176,38,2,2,2016
c. Attempted Forcible Entry,61,13,1,2,2016
6. Larceny - Theft Total,"2,921",763,73,2,2016
7. Motor Vehicle Theft Total,351,53,9,2,2016
a. Autos,318,46,7,2,2016
b. Trucks and Buses,16,3,1,2,2016
c. Other Vehicles,17,4,1,2,2016
8. Arson,28,16,4,2,2016
9. Human Trafficking - Commercial Sex Act,,,,2,2016
10. Human Trafficking - Involuntary Servitude,,,,2,2016
Grand Total,"6,173","2,578",244,2,2016
Index Violent Crime,531,310,31,2,2016
Index Property Crime,"3,853",946,95,2,2016
Part I Crime (Index Crime),"4,384","1,256",126,2,2016
1. Criminal Homicide,8,6,,3,2016
a. Murder and Nonnegligent Homicide,7,5,,3,2016
b. Manslaughter by Negligence,1,1,,3,2016
2. Forcible Rape Total,54,29,2,3,2016
a. Rape by Force,51,28,1,3,2016
b. Attempts to commit Forcible Rape,3,1,1,3,2016
3. Robbery Total,219,75,7,3,2016
a. Firearm,59,19,3,3,2016
b. Knife or Cutting Instrument,28,13,3,3,2016
c. Other Dangerous Weapon,26,7,,3,2016
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",106,36,1,3,2016
4. Assault Total,"2,658","1,881",208,3,2016
a. Firearm,68,27,1,3,2016
b. Knife or Cutting Instrument,78,59,2,3,2016
c. Other Dangerous Weapon,116,73,6,3,2016
"d. Hands, Fists, Feet, Etc. - Aggravated injury",91,72,7,3,2016
Aggravated Assault Total,353,231,16,3,2016
"4e. Other Assaults - Simple, Not Aggravated","2,305","1,650",192,3,2016
5. Burglary Total,644,120,5,3,2016
a. Forcible Entry,376,68,4,3,2016
b. Unlawful Entry - No Force,212,46,1,3,2016
c. Attempted Forcible Entry,56,6,,3,2016
6. Larceny - Theft Total,"3,339",842,62,3,2016
7. Motor Vehicle Theft Total,444,63,10,3,2016
a. Autos,404,54,7,3,2016
b. Trucks and Buses,14,3,,3,2016
c. Other Vehicles,26,6,3,3,2016
8. Arson,34,14,4,3,2016
9. Human Trafficking - Commercial Sex Act,2,,,3,2016
10. Human Trafficking - Involuntary Servitude,,,,3,2016
Grand Total,"7,402","3,030",298,3,2016
Index Violent Crime,633,340,25,3,2016
Index Property Crime,"4,461","1,039",81,3,2016
Part I Crime (Index Crime),"5,094","1,379",106,3,2016
1. Criminal Homicide,7,3,,4,2016
a. Murder and Nonnegligent Homicide,6,2,,4,2016
b. Manslaughter by Negligence,1,1,,4,2016
2. Forcible Rape Total,61,21,2,4,2016
a. Rape by Force,57,21,2,4,2016
b. Attempts to commit Forcible Rape,4,,,4,2016
3. Robbery Total,208,61,6,4,2016
a. Firearm,73,20,2,4,2016
b. Knife or Cutting Instrument,21,8,3,4,2016
c. Other Dangerous Weapon,16,5,,4,2016
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",98,28,1,4,2016
4. Assault Total,"2,468","1,774",183,4,2016
a. Firearm,48,21,1,4,2016
b. Knife or Cutting Instrument,72,50,5,4,2016
c. Other Dangerous Weapon,129,72,4,4,2016
"d. Hands, Fists, Feet, Etc. - Aggravated injury",103,80,7,4,2016
Aggravated Assault Total,352,223,17,4,2016
"4e. Other Assaults - Simple, Not Aggravated","2,116","1,551",166,4,2016
5. Burglary Total,733,143,8,4,2016
a. Forcible Entry,388,92,2,4,2016
b. Unlawful Entry - No Force,276,47,6,4,2016
c. Attempted Forcible Entry,69,4,,4,2016
6. Larceny - Theft Total,"3,531",816,67,4,2016
7. Motor Vehicle Theft Total,422,47,7,4,2016
a. Autos,363,44,6,4,2016
b. Trucks and Buses,15,,,4,2016
c. Other Vehicles,44,3,1,4,2016
8. Arson,36,14,6,4,2016
9. Human Trafficking - Commercial Sex Act,,,,4,2016
10. Human Trafficking - Involuntary Servitude,,,,4,2016
Grand Total,"7,466","2,879",279,4,2016
Index Violent Crime,627,307,25,4,2016
Index Property Crime,"4,722","1,020",88,4,2016
Part I Crime (Index Crime),"5,349","1,327",113,4,2016
1. Criminal Homicide,7,11,,5,2016
a. Murder and Nonnegligent Homicide,7,10,,5,2016
b. Manslaughter by Negligence,,1,,5,2016
2. Forcible Rape Total,81,19,2,5,2016
a. Rape by Force,79,19,2,5,2016
b. Attempts to commit Forcible Rape,2,,,5,2016
3. Robbery Total,184,57,4,5,2016
a. Firearm,53,13,2,5,2016
b. Knife or Cutting Instrument,22,3,,5,2016
c. Other Dangerous Weapon,17,10,,5,2016
"d. Strong-Arm (Hands, Fists, Feet, Etc.)",92,31,2,5,2016
4. Assault Total,"2,926","2,091",221,5,2016
a. Firearm,57,23,,5,2016
b. Knife or Cutting Instrument,111,70,7,5,2016
c. Other Dangerous Weapon,160,118,8,5,2016
"d. Hands, Fists, Feet, Etc. - Aggravated injury",113,80,9,5,2016
Aggravated Assault Total,441,291,24,5,2016
"4e. Other Assaults - Simple, Not Aggravated","2,485","1,800",197,5,2016
5. Burglary Total,807,119,14,5,2016
a. Forcible Entry,462,66,5,5,2016
b. Unlawful Entry - No Force,270,45,8,5,2016
c. Attempted Forcible Entry,75,8,1,5,2016
6. Larceny - Theft Total,"3,816",893,67,5,2016
7. Motor Vehicle Theft Total,568,53,13,5,2016
a. Autos,440,43,10,5,2016
