Date Occurred ,Crime Description
2/11/2020 ,FIELD INTERVIEW                    
2/11/2020 ,TERRY STOPS                        
2/18/2020 ,SPEEDING (RADAR)                   
2/03/2020 ,SPEEDING (RADAR)                   
2/27/2020 ,IMPOUNDED VEHICLE                  
2/27/2020 ,TRAFFIC SIGN VIOLATION             
2/27/2020 ,OPERATE UNINSURED MOTOR VEHICLE    
4/10/2020 ,ACCIDENT INVOLVING INJURY          
4/10/2020 ,IMPROPER LANE USAGE                
3/28/2020 ,ACCIDENT HIT AND RUN               
3/28/2020 ,ACCIDENT INVOLVING NON-INJURY      
4/13/2020 ,BURGLARY RESIDENTIAL               
4/14/2020 ,WARRANT-IN STATE                   
4/14/2020 ,THEFT $500 AND UNDER               
4/14/2020 ,DECEPTIVE PRACTICES                
3/26/2020 ,FRAUD-CREDIT CARD                  
4/13/2020 ,THEFT $500 AND UNDER               
4/14/2020 ,DECEPTIVE PRACTICES                
1/13/2020 ,ACCIDENT INVOLVING OTHER CITY PROP 
1/21/2020 ,BATTERY-DOMESTIC                   
1/21/2020 ,BATTERY-DOMESTIC                   
2/15/2020 ,CRIMINAL DAMAGE TO PROPERTY        
2/23/2020 ,CRISIS INTERVEN. - FAMILY          
2/23/2020 ,CHILD ABUSE                        
2/24/2020 ,THEFT $500 AND UNDER               
2/23/2020 ,BURGLARY RESIDENTIAL               
2/24/2020 ,BATTERY                            
2/24/2020 ,WARRANT-IN STATE                   
2/24/2020 ,WARRANT-IN STATE                   
2/12/2020 ,DISORDERLY CONDUCT-ALL OTHER       
2/12/2020 ,CRISIS INTERVEN. - MENTAL ILLNESS  
2/12/2020 ,SRO - YAC REFERRAL                 
2/12/2020 ,USE OF FORCE BY OFFICER            
2/25/2020 ,BURGLARY FROM MOTOR VEHICLE        
2/25/2020 ,THEFT-RETAIL                       
2/21/2020 ,DAMAGING PROPERTY                  
2/21/2020 ,FIELD INTERVIEW                    
2/21/2020 ,CRISIS INTERVEN. - MENTAL ILLNESS  
2/03/2020 ,SPEEDING (RADAR)                   
2/18/2020 ,SPEEDING (RADAR)                   
2/24/2020 ,THEFT OVER $500                    
2/24/2020 ,BURGLARY                           
2/26/2020 ,BATTERY-DOMESTIC                   
2/26/2020 ,BATTERY-DOMESTIC                   
2/26/2020 ,FALSE FIRE ALARM                   
2/17/2020 ,FIELD INTERVIEW                    
2/20/2020 ,FIELD INTERVIEW                    
1/15/2020 ,FIELD INTERVIEW                    
1/13/2020 ,SPEEDING (PACED)                   
1/14/2020 ,SPEEDING (RADAR)                   
1/19/2020 ,NO VALID DL DRIVERS LICENSE        
1/19/2020 ,THEFT-RETAIL                       
1/19/2020 ,OBSTRUCTING IDENTIFICATION         
1/19/2020 ,IMPOUNDED VEHICLE                  
1/15/2020 ,CRIMINAL DAMAGE TO PROPERTY        
1/16/2020 ,THEFT $500 AND UNDER               
1/17/2020 ,BATTERY                            
1/17/2020 ,BATTERY                            
1/17/2020 ,DECEPTIVE PRACTICES                
1/18/2020 ,ASSAULT                            
1/18/2020 ,DISORDERLY CONDUCT-ALL OTHER       
1/19/2020 ,BATTERY-DOMESTIC                   
1/20/2020 ,CRIMINAL DAMAGE TO PROPERTY        
1/18/2020 ,CRISIS INTERVEN. - MENTAL ILLNESS  
1/21/2020 ,CRIMINAL DAMAGE TO PROPERTY        
1/21/2020 ,BATTERY-DOMESTIC                   
1/21/2020 ,BATTERY-AGGRAVATED                 
2/16/2020 ,BATTERY-DOMESTIC                   
2/16/2020 ,BATTERY-DOMESTIC                   
2/16/2020 ,UNLAWFUL USE OF WEAPONS            
2/09/2020 ,CRIMINAL DAMAGE TO PROPERTY        
2/24/2020 ,DRIVING UNDER THE INFL-ALCOHOL     
2/24/2020 ,OPERATE UNINSURED MOTOR VEHICLE    
2/24/2020 ,NO VALID DL DRIVERS LICENSE        
2/24/2020 ,IMPOUNDED VEHICLE                  
2/24/2020 ,IMPROPER LANE USAGE                
1/17/2020 ,FAILURE TO YIELD AT INTERSECTION   
1/17/2020 ,ACCIDENT INVOLVING NON-INJURY      
1/17/2020 ,FAILURE TO YIELD TURNING LEFT      
1/20/2020 ,BATTERY-DOMESTIC                   
1/21/2020 ,BATTERY-DOMESTIC                   
1/17/2020 ,ACCIDENT INVOLVING INJURY          
1/17/2020 ,FAILURE TO REDUCE SPEED            
1/17/2020 ,VOID FILE NUMBER                   
1/18/2020 ,CRIMINAL DAMAGE TO PROPERTY        
2/20/2020 ,ACCIDENT INVOLVING NON-INJURY      
2/20/2020 ,ACCIDENT HIT AND RUN               
2/20/2020 ,ACCIDENT INVOLVING NON-INJURY      
2/19/2020 ,ELECTRONIC COMMUNICATION-VOICE     
2/22/2020 ,ACCIDENT INVOLVING NON-INJURY      
2/22/2020 ,IMPROPER BACKING                   
2/19/2020 ,IMPROPER LANE USAGE                
2/19/2020 ,OPERATE UNINSURED MOTOR VEHICLE    
2/24/2020 ,LOST DRIVERS LICENSE/PLATE         
2/24/2020 ,CRISIS INTERVEN. - MENTAL ILLNESS  
2/24/2020 ,BURGLARY FROM MOTOR VEHICLE        
2/24/2020 ,ACCIDENT INVOLVING NON-INJURY      
2/24/2020 ,FAILURE TO REDUCE SPEED            
2/24/2020 ,THEFT-MOTOR VEHICLE                
2/22/2020 ,ASSAULT-AGGRAVATED                 
2/24/2020 ,RUNAWAY - MINOR REQUIRE AUTH INTER 
1/25/2020 ,SEXUAL ASSAULT-AGG CRIMINAL        
2/22/2020 ,MIP ALCOHOL/LIQUOR                 
2/25/2020 ,ACCIDENT INVOLVING NON-INJURY      
2/25/2020 ,HIT AND RUN                        
2/15/2020 ,TRAFFIC SIGN VIOLATION             
2/21/2020 ,FAILURE TO REDUCE SPEED            
2/21/2020 ,ACCIDENT INVOLVING NON-INJURY      
2/19/2020 ,ELECTRONIC COMMUNICATION-VOICE     
2/23/2020 ,BATTERY-DOMESTIC                   
2/23/2020 ,BATTERY-DOMESTIC                   
2/24/2020 ,VOID FILE NUMBER                   
2/25/2020 ,ACCIDENT INVOLVING NON-INJURY      
2/25/2020 ,ACCIDENT HIT AND RUN               
2/25/2020 ,HIT AND RUN                        
2/25/2020 ,FAILURE TO REDUCE SPEED            
2/04/2020 ,THEFT-RETAIL                       
2/25/2020 ,RUNAWAY - MINOR REQUIRE AUTH INTER 
2/26/2020 ,BATTERY                            
2/26/2020 ,BATTERY-AGGRAVATED                 
2/11/2020 ,FIELD INTERVIEW                    
2/19/2020 ,FIELD INTERVIEW                    
2/19/2020 ,FIELD INTERVIEW                    
4/10/2020 ,WARRANT-IN STATE                   
3/19/2020 ,FIELD INTERVIEW                    
3/24/2020 ,ACCIDENT ON PRIVATE PROPERTY       
3/24/2020 ,ACCIDENT INVOLVING INJURY          
3/13/2020 ,ACCIDENT HIT AND RUN               
3/13/2020 ,ACCIDENT INVOLVING NON-INJURY      
4/11/2020 ,MISSING PERSON ADULT/FEMALE        
4/13/2020 ,ASSIST SICK & INJURED              
4/13/2020 ,CRISIS INTERVEN. - DOMESTIC TROUBLE
4/13/2020 ,WARRANT-IN STATE                   
4/13/2020 ,ASSIST SICK & INJURED              
1/14/2020 ,ACCIDENT INVOLVING PEDESTRIAN      
1/14/2020 ,PEDESTRIAN FAILED TO YIELD         
1/14/2020 ,ASSIST SICK & INJURED              
1/14/2020 ,ACCIDENT INVOLVING INJURY          
1/20/2020 ,CRISIS INTERVEN. - SUICIDE ATTEMPT 
1/20/2020 ,SUICIDE ATTEMPT/CUTTING            
1/18/2020 ,THEFT-RETAIL                       
1/21/2020 ,THEFT OF LOST/MISLAID PROPERTY     
2/22/2020 ,CRISIS INTERVEN. - SUICIDE IDEATION
2/22/2020 ,RETAIL THEFT                       
2/13/2020 ,ACCIDENT INVOLVING NON-INJURY      
2/17/2020 ,ACCIDENT INVOLVING NON-INJURY      
2/17/2020 ,FAILURE TO REDUCE SPEED            
2/25/2020 ,BATTERY-DOMESTIC                   
2/25/2020 ,BATTERY-DOMESTIC                   
2/24/2020 ,ACCIDENT INVOLVING NON-INJURY      
2/24/2020 ,FAILURE TO YIELD PRIVATE ROAD      
2/21/2020 ,MIP ALCOHOL/LIQUOR                 
2/21/2020 ,PEDESTRIAN STOPS                   
2/24/2020 ,DECEPTIVE PRACTICES                
2/20/2020 ,ACCIDENT INVOLVING NON-INJURY      
2/03/2020 ,SPEEDING (RADAR)                   
2/18/2020 ,CRIMINAL DAMAGE TO PROPERTY        
2/18/2020 ,BURGLARY                           
2/26/2020 ,CRIMINAL DAMAGE TO PROPERTY        
2/25/2020 ,FIELD INTERVIEW                    
4/12/2020 ,ACCIDENT INVOLVING INJURY          
4/12/2020 ,OPERATE UNINSURED MOTOR VEHICLE    
4/12/2020 ,NO VALID DL DRIVERS LICENSE        
4/14/2020 ,FORGERY                            
4/17/2020 ,ASSAULT-AGGRAVATED                 
4/17/2020 ,BATTERY-AGG-UNBORN CHILD           
4/17/2020 ,BATTERY-AGG-UNBORN CHILD           
4/16/2020 ,RUNAWAY - MINOR REQUIRE AUTH INTER 
4/18/2020 ,ACCIDENT INVOLVING NON-INJURY      
4/18/2020 ,TRAFFIC SIGNAL VIOLATION           
4/18/2020 ,ACCIDENT INVOLVING NON-INJURY      
4/18/2020 ,OPERATE UNINSURED MOTOR VEHICLE    
4/18/2020 ,FAILURE TO REDUCE SPEED            
4/18/2020 ,SUICIDE ATTEMPT/CUTTING            
4/18/2020 ,CRISIS INTERVEN. - SUICIDE ATTEMPT 
4/17/2020 ,FOUND ARTICLES                     
4/18/2020 ,BATTERY-DOMESTIC                   
4/18/2020 ,BATTERY-DOMESTIC                   
4/12/2020 ,DEATH INVESTIGATION                
4/17/2020 ,ACCIDENT INVOLVING NON-INJURY      
4/17/2020 ,FAILURE TO YIELD AT INTERSECTION   
4/21/2020 ,THEFT-MOTOR VEHICLE                
4/21/2020 ,BATTERY-AGGRAVATED                 
4/21/2020 ,ROBBERY-ARMED                      
4/19/2020 ,THEFT $500 AND UNDER               
6/17/2020 ,VIOLATION ORDER PROTECTION         
6/14/2020 ,SPEEDING (RADAR)                   
6/12/2020 ,IMPROPER LANE USAGE-ONE-WAY ST     
6/13/2020 ,EXPIRED REGISTRATION               
6/05/2020 ,DISOBEY TRAFFIC SIGNAL/RR CROSSING 
6/17/2020 ,OPERATE UNINSURED MOTOR VEHICLE    
6/21/2020 ,THEFT-MOTOR VEHICLE                
2/20/2020 ,FIELD INTERVIEW                    
2/20/2020 ,FIELD INTERVIEW                    
2/19/2020 ,FIELD INTERVIEW                    
2/24/2020 ,FIELD INTERVIEW                    
2/24/2020 ,TERRY STOPS                        
2/03/2020 ,SPEEDING (RADAR)                   
4/10/2020 ,WARRANT-IN STATE                   
4/11/2020 ,FOUND ARTICLES                     
4/14/2020 ,MISSING PERSON ADULT/MALE          
4/13/2020 ,TELEPHONE THREAT                   
4/11/2020 ,OTHER TROUBLE/INFO RPT             
4/14/2020 ,FOUND ARTICLES                     
4/16/2020 ,SUSPICIOUS PERSON                  
4/17/2020 ,SUICIDE THREAT-NO ATTEMPT          
4/17/2020 ,CRISIS INT - SUICIDE THREAT/ATTEMPT
4/15/2020 ,OTHER TROUBLE/INFO RPT             
4/15/2020 ,DECEPTIVE PRACTICES                
4/19/2020 ,ACCIDENT INVOLVING NON-INJURY      
4/19/2020 ,ACCIDENT HIT AND RUN               
4/19/2020 ,IMPOUNDED VEHICLE                  
4/13/2020 ,ACCIDENT INVOLVING NON-INJURY      
4/13/2020 ,ACCIDENT HIT AND RUN               
4/13/2020 ,LEAVING THE SCENE OF AN ACCIDENT   
4/14/2020 ,BURGLARY RESIDENTIAL               
4/12/2020 ,BATTERY-DOMESTIC                   
4/12/2020 ,CRISIS INTERVEN. - DOMESTIC TROUBLE
4/20/2020 ,WARRANT-IN STATE                   
4/20/2020 ,BATTERY-DOMESTIC                   
4/20/2020 ,ASSAULT-AGGRAVATED                 
2/25/2020 ,ACCIDENT HIT AND RUN               
2/27/2020 ,K9 SWEEP                           
2/27/2020 ,CANNABIS POSS OVER 10 - 100 G -MISD
2/27/2020 ,NO VALID DL DRIVERS LICENSE        
2/27/2020 ,SEAT BELT-DRIVER & PASSENGER       
2/27/2020 ,IMPROPER USE OF SIGNAL             
2/27/2020 ,CURFEW                             
2/27/2020 ,NO TAILLIGHTS                      
2/27/2020 ,AGGR UNLAWFUL USE OF WEAPON        
2/27/2020 ,IMPOUNDED VEHICLE                  
2/22/2020 ,THEFT OVER $500                    
2/24/2020 ,BATTERY                            
2/26/2020 ,SPECIFIC NOISE PROHIBITED          
2/03/2020 ,FIELD INTERVIEW                    
2/18/2020 ,SPEEDING (RADAR)                   
2/03/2020 ,SPEEDING (RADAR)                   
4/09/2020 ,LOST ARTICLES                      
4/08/2020 ,FIELD INTERVIEW                    
4/13/2020 ,OPERATE UNINSURED MOTOR VEHICLE    
4/13/2020 ,ACCIDENT INVOLVING NON-INJURY      
4/13/2020 ,DRIVING UNDER THE INFL-ALCOHOL     
4/13/2020 ,IMPOUNDED VEHICLE                  
4/13/2020 ,FAILURE TO REDUCE SPEED            
4/07/2020 ,AGG DISCHARGE OF FIREARM           
4/12/2020 ,BATTERY-AGGRAVATED                 
4/14/2020 ,FRAUD-CREDIT CARD                  
4/14/2020 ,THEFT $500 AND UNDER               
4/14/2020 ,ASSAULT                            
4/15/2020 ,BATTERY-DOMESTIC                   
2/24/2020 ,ACCIDENT INVOLVING INJURY          
2/19/2020 ,ELECTRONIC COMMUNICATION-VOICE     
2/21/2020 ,ACCIDENT INVOLVING NON-INJURY      
2/21/2020 ,FAILURE TO REDUCE SPEED            
2/24/2020 ,LOST ARTICLES                      
2/15/2020 ,ASSIST AGENCY (OTHER)              
2/23/2020 ,RUNAWAY - MINOR REQUIRE AUTH INTER 
2/24/2020 ,ACCIDENT INVOLVING NON-INJURY      
2/24/2020 ,FAILURE TO YIELD PRIVATE ROAD      
2/14/2020 ,EXPIRED REGISTRATION               
2/19/2020 ,SPECIFIC NOISE PROHIBITED          
2/24/2020 ,BURGLARY                           
2/25/2020 ,BATTERY-AGGRAVATED                 
2/18/2020 ,ACCIDENT INVOLVING NON-INJURY      
2/18/2020 ,FAILURE TO YIELD PRIVATE ROAD      
2/25/2020 ,IMPROPER LANE USAGE                
2/25/2020 ,ACCIDENT INVOLVING NON-INJURY      
2/22/2020 ,MIP ALCOHOL/LIQUOR                 
2/25/2020 ,BURGLARY FROM MOTOR VEHICLE        
2/26/2020 ,VIOLATION ORDER PROTECTION         
2/26/2020 ,CRIMINAL DAMAGE TO PROPERTY        
2/26/2020 ,ACCIDENT INVOLVING NON-INJURY      
2/26/2020 ,FAILURE TO REDUCE SPEED            
4/01/2020 ,FIELD INTERVIEW                    
3/09/2020 ,ACCIDENT HIT AND RUN               
3/09/2020 ,ACCIDENT INVOLVING NON-INJURY      
4/09/2020 ,RECOVERED PROPERTY ONLY            
4/10/2020 ,ACCIDENT INVOLVING INJURY          
4/10/2020 ,IMPROPER LANE USAGE                
1/08/2020 ,ACCIDENT W/NON-VEH PROP DAMAGE     
1/08/2020 ,ACCIDENT ON PRIVATE PROPERTY       
1/08/2020 ,HIT AND RUN                        
1/08/2020 ,ACCIDENT HIT AND RUN               
1/08/2020 ,ACCIDENT INVOLVING NON-INJURY      
1/15/2020 ,ACCIDENT INVOLVING NON-INJURY      
1/15/2020 ,IMPROPER TURN-NOT AT INTERSECTION  
1/15/2020 ,ACCIDENT W/NON-VEH PROP DAMAGE     
1/14/2020 ,BATTERY-DOMESTIC                   
1/14/2020 ,BATTERY-DOMESTIC                   
1/14/2020 ,BATTERY-AGG DOMESTIC               
1/15/2020 ,ACCIDENT INVOLVING NON-INJURY      
1/15/2020 ,IMPROPER LANE USAGE                
1/15/2020 ,ACCIDENT W/NON-VEH PROP DAMAGE     
1/15/2020 ,ACCIDENT INVOLVING OTHER CITY PROP 
1/16/2020 ,FIELD INTERVIEW                    
1/16/2020 ,CRISIS INTERVEN. - MENTAL ILLNESS  
1/16/2020 ,CRIMINAL DAMAGE TO PROPERTY        
1/16/2020 ,TRESPASS TO LAND/REAL PROPERTY     
1/17/2020 ,FIELD INTERVIEW                    
1/17/2020 ,FIELD INTERVIEW                    
1/17/2020 ,WARRANT-IN STATE                   
1/16/2020 ,LOST ARTICLES                      
1/14/2020 ,SPEEDING (RADAR)                   
1/14/2020 ,SPEEDING (RADAR)                   
1/14/2020 ,OPERATE UNINSURED MOTOR VEHICLE    
1/16/2020 ,ASSIST AGENCY (OTHER)              
1/17/2020 ,FIGHTING                           
1/17/2020 ,BATTERY-DOMESTIC                   
1/18/2020 ,CRISIS INTERVEN. - SUICIDE IDEATION
1/18/2020 ,DEATH INVESTIGATION                
1/18/2020 ,THEFT-RETAIL                       
1/18/2020 ,BATTERY-DOMESTIC                   
1/18/2020 ,BATTERY-AGG DOMESTIC               
1/18/2020 ,WARRANT-IN STATE                   
1/18/2020 ,DAMAGING PROPERTY                  
1/19/2020 ,SUICIDE ATTEMPT/DRUGS              
1/19/2020 ,CRISIS INTERVEN. - SUICIDE ATTEMPT 
1/19/2020 ,USE OF FORCE BY OFFICER            
1/16/2020 ,DECEPTIVE PRACTICES                
1/19/2020 ,VOID FILE NUMBER                   
1/19/2020 ,BATTERY-DOMESTIC                   
1/19/2020 ,VIOLATION CIVIL NO CONTACT ORD     
1/21/2020 ,ACCIDENT INVOLVING NON-INJURY      
1/21/2020 ,FAILURE TO REDUCE SPEED            
1/11/2020 ,CRIMINAL DAMAGE TO PROPERTY        
1/11/2020 ,ACCIDENT INVOLVING NON-INJURY      
1/11/2020 ,LEAVING SCENE PROPERTY DAMAGE      
1/11/2020 ,ACCIDENT HIT AND RUN               
1/11/2020 ,ACCIDENT W/NON-VEH PROP DAMAGE     
2/23/2020 ,ASSIST AGENCY (OTHER)              
2/23/2020 ,POSSESSION OF STOLEN FIREARM       
2/21/2020 ,CRIMINAL DAMAGE TO PROPERTY        
2/24/2020 ,OPERATE MV W/SUSPEND REGISTRATION  
2/24/2020 ,IMPOUNDED VEHICLE                  
2/24/2020 ,TRAFFIC SIGNAL VIOLATION           
2/24/2020 ,ACCIDENT INVOLVING NON-INJURY      
2/23/2020 ,CRIMINAL DAMAGE TO PROPERTY        
1/15/2020 ,THEFT OVER $500                    
1/16/2020 ,THEFT-MOTOR VEHICLE                
1/15/2020 ,BATTERY-DOMESTIC                   
1/15/2020 ,BATTERY                            
1/15/2020 ,BATTERY                            
1/15/2020 ,BATTERY                            
1/15/2020 ,CRISIS INTERVEN. - MENTAL ILLNESS  
1/15/2020 ,FIELD INTERVIEW                    
1/16/2020 ,CRUELTY TO ANIMALS                 
1/17/2020 ,IMPOUNDED VEHICLE                  
1/17/2020 ,OPERATE UNINSURED MOTOR VEHICLE    
1/17/2020 ,ACCIDENT INVOLVING INJURY          
1/17/2020 ,FAILURE TO REDUCE SPEED            
1/13/2020 ,SPEEDING (RADAR)                   
1/14/2020 ,OPERATE UNINSURED MOTOR VEHICLE    
1/19/2020 ,WARRANT-IN STATE                   
1/10/2020 ,SEXUAL-ASSAULT-CRIMINAL            
1/15/2020 ,BURGLARY FROM MOTOR VEHICLE        
1/15/2020 ,THEFT OVER $500                    
1/16/2020 ,THEFT-RETAIL                       
1/17/2020 ,FUGITIVE FROM JUSTICE              
