Date Occurred ,Crime Description
3/24/2021 ,UNLAWFUL USE OF WEAPONS            
3/24/2021 ,FOUND ARTICLES                     
3/24/2021 ,THEFT-RETAIL                       
1/16/2021 ,CRISIS INTERVEN. - DOMESTIC TROUBLE
1/16/2021 ,BATTERY-DOMESTIC                   
1/16/2021 ,WARRANT-IN STATE                   
1/14/2021 ,PROPERTY FORFEITURE-MAINTAIN PUBLIC
1/14/2021 ,ASSIST OTHER POLICE DEPT           
1/12/2021 ,DEATH INVESTIGATION                
1/16/2021 ,THEFT-MOTOR VEHICLE                
1/16/2021 ,MISSING PERSON ADULT/MALE          
1/11/2021 ,BURGLARY                           
1/21/2021 ,TRESPASS-RESIDENCE                 
1/21/2021 ,DOMESTIC DISPUTE                   
1/21/2021 ,OTHER TROUBLE/INFO RPT             
1/10/2021 ,SPEEDING (RADAR)                   
1/23/2021 ,TRESPASS TO LAND/REAL PROPERTY     
1/16/2021 ,THEFT $500 AND UNDER               
1/23/2021 ,OTHER TROUBLE/INFO RPT             
1/23/2021 ,WARRANT-IN STATE                   
1/23/2021 ,THEFT-RETAIL                       
1/01/2021 ,OTHER TROUBLE/INFO RPT             
1/25/2021 ,IMPOUNDED VEHICLE                  
1/25/2021 ,OPERATE UNINSURED MOTOR VEHICLE    
1/25/2021 ,FAILURE TO YIELD AT INTERSECTION   
1/25/2021 ,ACCIDENT INVOLVING INJURY          
1/24/2021 ,THEFT-MOTOR VEHICLE                
1/25/2021 ,MOB ACTION                         
1/25/2021 ,BATTERY                            
1/25/2021 ,BATTERY-DOMESTIC                   
1/25/2021 ,BATTERY-DOMESTIC                   
1/25/2021 ,POSSESSION OF STOLEN FIREARM       
1/07/2021 ,ASSAULT-AGGRAVATED                 
1/07/2021 ,BATTERY-DOMESTIC                   
1/18/2021 ,MISSING PERSON JUVENILE/MALE       
1/18/2021 ,MISSING PERSON ADULT/FEMALE        
1/18/2021 ,MISSING PERSON JUVENILE/FEMALE     
1/18/2021 ,IMPOUNDED VEHICLE                  
1/18/2021 ,LOST DRIVERS LICENSE/PLATE         
1/17/2021 ,THEFT OF LOST/MISLAID PROPERTY     
1/17/2021 ,FRAUD-CREDIT CARD                  
1/19/2021 ,BATTERY-AGGRAVATED                 
1/19/2021 ,BATTERY-AGGRAVATED                 
1/16/2021 ,EXPIRED REGISTRATION               
1/18/2021 ,FAILURE TO YIELD TURNING LEFT      
1/18/2021 ,ACCIDENT INVOLVING INJURY          
1/20/2021 ,CRISIS INTERVEN. - SUICIDE ATTEMPT 
1/20/2021 ,SUICIDE ATTEMPT/DRUGS              
1/20/2021 ,AGG DISCHARGE OF FIREARM           
1/21/2021 ,WARRANT-IN STATE                   
1/21/2021 ,CRIMINAL DAMAGE TO PROPERTY        
1/21/2021 ,CONTROLLED SUBSTANCE-POSSESSION    
1/21/2021 ,CONTROLLED SUBSTANCE-LOOK-ALIKE    
1/21/2021 ,VIOLATION ORDER PROTECTION         
1/07/2021 ,BURGLARY FROM MOTOR VEHICLE        
1/07/2021 ,THEFT-MOTOR VEHICLE                
1/22/2021 ,BATTERY-DOMESTIC                   
1/24/2021 ,BATTERY-DOMESTIC                   
1/22/2021 ,ROBBERY                            
1/01/2021 ,CRISIS INTERVEN. - MENTAL ILLNESS  
1/01/2021 ,ASSIST OTHER POLICE DEPT           
3/24/2021 ,DECEPTIVE PRACTICES                
3/24/2021 ,BURGLARY FROM MOTOR VEHICLE        
3/26/2021 ,ASSAULT-AGGRAVATED                 
3/26/2021 ,AGG DISCHARGE OF FIREARM           
3/25/2021 ,ACCIDENT INVOLVING INJURY          
3/25/2021 ,FAILURE TO YIELD TURNING LEFT      
3/19/2021 ,TRAFFIC SIGNAL VIOLATION           
3/26/2021 ,SEXUAL ABUSE-CRIMINAL              
3/26/2021 ,ENDANG LIFE/HEALTH OF CHILD        
3/27/2021 ,CRIMINAL DAMAGE TO PROPERTY        
3/27/2021 ,ASSAULT-AGGRAVATED                 
3/26/2021 ,ACCIDENT INVOLVING NON-INJURY      
3/26/2021 ,ACCIDENT HIT AND RUN               
3/24/2021 ,ACCIDENT INVOLVING NON-INJURY      
3/24/2021 ,FAILURE TO YIELD AT INTERSECTION   
3/29/2021 ,DRIVING UNDER SUSPENDED LICENSE    
3/29/2021 ,IMPOUNDED VEHICLE                  
3/29/2021 ,ACCIDENT INVOLVING NON-INJURY      
5/12/2021 ,RUNAWAY - MINOR REQUIRE AUTH INTER 
5/12/2021 ,BURGLARY RESIDENTIAL               
5/13/2021 ,ASSIST AGENCY (OTHER)              
2/20/2021 ,UNLAWFUL USE OF I.D.               
3/19/2021 ,UNLAWFUL USE OF I.D.               
2/21/2021 ,UNLAWFUL USE OF I.D.               
5/05/2021 ,SPEEDING (RADAR)                   
5/14/2021 ,BURGLARY FROM MOTOR VEHICLE        
5/08/2021 ,VOID FILE NUMBER                   
5/16/2021 ,BATTERY-AGGRAVATED                 
5/16/2021 ,WARRANT-IN STATE                   
1/01/2021 ,SEXUAL-ASSAULT-CRIMINAL            
1/23/2021 ,BATTERY-DOMESTIC                   
1/23/2021 ,BATTERY-DOMESTIC                   
1/23/2021 ,CRISIS INTERVEN. - SUICIDE ATTEMPT 
1/23/2021 ,SUICIDE ATTEMPT/DRUGS              
1/16/2021 ,VOID FILE NUMBER                   
1/24/2021 ,BURGLARY RESIDENTIAL               
1/22/2021 ,WARRANT-IN STATE                   
1/14/2021 ,DECEPTIVE PRACTICES                
3/19/2021 ,CRIMINAL DAMAGE TO PROPERTY        
3/20/2021 ,CRISIS INT - SUICIDE THREAT/ATTEMPT
3/21/2021 ,BATTERY-DOMESTIC                   
3/19/2021 ,FIELD INTERVIEW                    
3/22/2021 ,CRIMINAL DAMAGE TO PROPERTY        
3/22/2021 ,ASSAULT-AGGRAVATED                 
3/22/2021 ,AGG DISCHARGE OF FIREARM           
3/21/2021 ,CRISIS INTERVEN. - SUICIDE ATTEMPT 
3/19/2021 ,FAILURE TO REDUCE SPEED            
3/19/2021 ,ACCIDENT INVOLVING NON-INJURY      
2/23/2021 ,FOUND ARTICLES                     
3/22/2021 ,HOME INVASION                      
3/12/2021 ,CRIMINAL DAMAGE TO PROPERTY        
3/20/2021 ,CRIMINAL DAMAGE TO PROPERTY        
3/20/2021 ,BATTERY-AGGRAVATED                 
3/21/2021 ,ACCIDENT INVOLVING BICYLE          
3/21/2021 ,FAILURE TO YIELD AT INTERSECTION   
3/21/2021 ,ACCIDENT INVOLVING INJURY          
3/21/2021 ,IMPROPER LANE USAGE                
3/21/2021 ,NO LIGHT ON BICYCLE                
1/25/2021 ,WARRANT-IN STATE                   
1/25/2021 ,AGGR UNLAWFUL USE OF WEAPON        
1/20/2021 ,CRIMINAL DAMAGE TO PROPERTY        
1/21/2021 ,BURGLARY RESIDENTIAL               
1/21/2021 ,THEFT $500 AND UNDER               
1/22/2021 ,ACCIDENT INVOLVING NON-INJURY      
1/22/2021 ,FAILURE TO REDUCE SPEED            
3/21/2021 ,BATTERY-AGGRAVATED                 
3/21/2021 ,BATTERY-AGGRAVATED                 
3/20/2021 ,BURGLARY                           
3/21/2021 ,VIOLATION ORDER PROTECTION         
3/18/2021 ,HARASSMENT BY ELECTRONIC COMMUNICAT
3/14/2021 ,ACCIDENT ON PRIVATE PROPERTY       
3/14/2021 ,ACCIDENT HIT AND RUN               
3/14/2021 ,ACCIDENT INVOLVING NON-INJURY      
3/22/2021 ,OTHER TROUBLE/INFO RPT             
3/22/2021 ,FIELD INTERVIEW                    
3/13/2021 ,ACCIDENT HIT AND RUN               
3/13/2021 ,ACCIDENT INVOLVING NON-INJURY      
3/24/2021 ,IMPOUNDED VEHICLE                  
3/24/2021 ,ACCIDENT INVOLVING INJURY          
3/24/2021 ,DRIVING UNDER REVOKED LICENSE      
3/24/2021 ,IMPROPER LANE USAGE                
3/18/2021 ,DEATH INVESTIGATION                
3/15/2021 ,ACCIDENT INVOLVING NON-INJURY      
3/15/2021 ,ACCIDENT HIT AND RUN               
3/23/2021 ,ACCIDENT INVOLVING NON-INJURY      
3/17/2021 ,ACCIDENT INVOLVING NON-INJURY      
3/17/2021 ,ACCIDENT HIT AND RUN               
5/16/2021 ,DISORDERLY CONDUCT-ALL OTHER       
1/31/2021 ,VIOLATION ORDER PROTECTION         
1/31/2021 ,ACCIDENT INVOLVING NON-INJURY      
1/31/2021 ,ACCIDENT HIT AND RUN               
2/01/2021 ,BURGLARY RESIDENTIAL               
2/01/2021 ,CRIMINAL DAMAGE TO PROPERTY        
2/04/2021 ,BATTERY-DOMESTIC                   
2/03/2021 ,SEXUAL-ASSAULT-CRIMINAL            
2/03/2021 ,DOMESTIC DISPUTE                   
1/31/2021 ,CRISIS INTERVEN. - MENTAL ILLNESS  
1/31/2021 ,FIELD INTERVIEW                    
1/31/2021 ,WARRANT-IN STATE                   
2/01/2021 ,BATTERY-DOMESTIC                   
2/03/2021 ,CRIMINAL DAMAGE TO PROPERTY        
1/22/2021 ,BURGLARY RESIDENTIAL               
1/22/2021 ,REPORT OF LOST/STOLEN FIREARM      
2/02/2021 ,ACCIDENT INVOLVING NON-INJURY      
2/02/2021 ,FAILURE TO REDUCE SPEED            
1/28/2021 ,ACCIDENT INVOLVING NON-INJURY      
1/28/2021 ,TRAFFIC SIGN VIOLATION             
2/08/2021 ,CRISIS INTERVEN. - SUICIDE ATTEMPT 
2/08/2021 ,SUICIDE ATTEMPT/DRUGS              
2/09/2021 ,DISORDERLY CONDUCT-ALL OTHER       
1/31/2021 ,THEFT OF MOTOR VEH PARTS & ACCESS  
2/07/2021 ,FIELD INTERVIEW                    
1/19/2021 ,FIELD INTERVIEW                    
2/09/2021 ,DRIVING UNDER THE INFL-ALCOHOL     
2/09/2021 ,IMPOUNDED VEHICLE                  
2/09/2021 ,CRISIS INTERVEN. - SUICIDE IDEATION
1/10/2021 ,IMPROPER LIGHTING/ONE HEADLIGHT    
1/16/2021 ,VOID FILE NUMBER                   
1/18/2021 ,CRIMINAL DAMAGE TO PROPERTY        
1/18/2021 ,BURGLARY                           
1/20/2021 ,HEROIN OVERDOSE                    
1/20/2021 ,ASSIST SICK & INJURED              
1/20/2021 ,CRIMINAL DAMAGE TO PROPERTY        
1/21/2021 ,BATTERY-AGGRAVATED                 
1/21/2021 ,AGG DISCHARGE OF FIREARM           
1/19/2021 ,MOB ACTION                         
1/19/2021 ,BATTERY-AGGRAVATED                 
1/20/2021 ,BATTERY-DOMESTIC                   
1/20/2021 ,BATTERY-DOMESTIC                   
1/20/2021 ,TRAFFIC SIGN VIOLATION             
1/20/2021 ,ACCIDENT INVOLVING INJURY          
1/24/2021 ,CRIMINAL DAMAGE TO PROPERTY        
1/24/2021 ,CRISIS INTERVEN. - MENTAL ILLNESS  
1/25/2021 ,DISORDERLY CONDUCT-ALL OTHER       
1/25/2021 ,CRISIS INTERVEN. - MENTAL ILLNESS  
1/25/2021 ,TRESPASS TO LAND/REAL PROPERTY     
1/22/2021 ,WARRANT-IN STATE                   
1/22/2021 ,SEX OFFENDER-FAIL CHANGE ADD/EMPLOY
1/25/2021 ,DOMESTIC DISPUTE                   
1/25/2021 ,DOMESTIC DISPUTE                   
1/25/2021 ,HARASSMENT BY TELEPHONE            
1/25/2021 ,OTHER TROUBLE/INFO RPT             
1/23/2021 ,ACCIDENT INVOLVING BICYLE          
1/23/2021 ,ACCIDENT INVOLVING INJURY          
3/19/2021 ,FIELD INTERVIEW                    
3/14/2021 ,ACCIDENT INVOLVING NON-INJURY      
3/14/2021 ,FAILURE TO YIELD TURNING LEFT      
3/24/2021 ,THEFT GENERALLY                    
3/20/2021 ,CRIMINAL DAMAGE TO PROPERTY        
5/04/2021 ,ASSAULT-AGGRAVATED                 
5/10/2021 ,ASSIST STATE POLICE                
5/10/2021 ,USE OF FORCE BY OFFICER            
5/13/2021 ,ACCIDENT INVOLVING NON-INJURY      
5/13/2021 ,ACCIDENT HIT AND RUN               
5/13/2021 ,LEAVING THE SCENE OF AN ACCIDENT   
5/13/2021 ,OPERATE UNINSURED MOTOR VEHICLE    
5/13/2021 ,ACCIDENT ON PRIVATE PROPERTY       
5/13/2021 ,IMPOUNDED VEHICLE                  
5/10/2021 ,SPEEDING (RADAR)                   
5/12/2021 ,ASSIST OTHER POLICE DEPT           
5/12/2021 ,PROPERTY FORFEITURE-MAINTAIN PUBLIC
5/12/2021 ,CRIMINAL DAMAGE TO PROPERTY        
5/12/2021 ,CRISIS INTERVEN. - MENTAL ILLNESS  
5/11/2021 ,BATTERY-AGGRAVATED                 
5/03/2021 ,FRAUD-CREDIT CARD                  
5/14/2021 ,MISSING PERSON ADULT/FEMALE        
5/15/2021 ,BATTERY-DOMESTIC                   
5/14/2021 ,OTHER INVESTIGATION QUASI-CRIMINAL 
5/11/2021 ,RUNAWAY - MINOR REQUIRE AUTH INTER 
5/15/2021 ,OTHER TROUBLE/INFO RPT             
5/15/2021 ,BATTERY-DOMESTIC                   
5/15/2021 ,BATTERY-DOMESTIC                   
5/14/2021 ,ACCIDENT INVOLVING INJURY          
5/14/2021 ,ACCIDENT INVOLVING PEDESTRIAN      
3/24/2021 ,IMPROPER LIGHTING/ONE HEADLIGHT    
3/27/2021 ,IMPOUNDED VEHICLE                  
3/27/2021 ,ACCIDENT HIT AND RUN               
3/27/2021 ,LEAVING THE SCENE OF AN ACCIDENT   
3/27/2021 ,ACCIDENT INVOLVING NON-INJURY      
3/27/2021 ,IMPROPER LANE USAGE                
3/25/2021 ,CRIMINAL DAMAGE TO PROPERTY        
3/27/2021 ,CRIMINAL DAMAGE TO PROPERTY        
3/27/2021 ,ACCIDENT INVOLVING NON-INJURY      
3/27/2021 ,IMPROPER BACKING                   
5/07/2021 ,EXPIRED REGISTRATION               
4/15/2021 ,FRAUD-DECEPTION                    
5/13/2021 ,IMPOUNDED VEHICLE                  
5/13/2021 ,ACCIDENT INVOLVING NON-INJURY      
5/13/2021 ,ACCIDENT HIT AND RUN               
5/13/2021 ,RECKLESS DISCHARGE OF A FIREARM    
5/14/2021 ,THEFT-RETAIL                       
5/14/2021 ,IMPOUNDED VEHICLE                  
5/15/2021 ,IMPOUNDED VEHICLE                  
5/15/2021 ,IMPROPER LANE USAGE                
5/15/2021 ,NO VALID DL DRIVERS LICENSE        
5/15/2021 ,ACCIDENT INVOLVING NON-INJURY      
5/15/2021 ,OPERATE UNINSURED MOTOR VEHICLE    
5/11/2021 ,BURGLARY RESIDENTIAL               
5/14/2021 ,OTHER TROUBLE/INFO RPT             
5/13/2021 ,POSSESSION OF STOLEN FIREARM       
5/13/2021 ,BURGLARY RESIDENTIAL               
5/13/2021 ,UNLAWFUL POSS/USE WEAPON BY FELON  
5/13/2021 ,CONTROLLED SUBSTANCE-POSSESSION    
2/09/2021 ,CRISIS INT - SUICIDE THREAT/ATTEMPT
2/03/2021 ,FIELD INTERVIEW                    
2/04/2021 ,ACCIDENT INVOLVING NON-INJURY      
2/04/2021 ,OPERATE UNINSURED MOTOR VEHICLE    
2/09/2021 ,DAMAGING PROPERTY                  
4/04/2021 ,ASSAULT-AGGRAVATED                 
4/04/2021 ,HOME INVASION                      
4/05/2021 ,TRESPASS TO LAND/REAL PROPERTY     
4/05/2021 ,THEFT-RETAIL                       
4/05/2021 ,THEFT OF LOST/MISLAID PROPERTY     
4/05/2021 ,WARRANT-IN STATE                   
4/05/2021 ,BATTERY-AGG DOMESTIC               
2/22/2021 ,KEEPING DANGEROUS ANIMALS          
2/22/2021 ,VICIOUS ANIMALS PROHIBITED         
4/06/2021 ,THEFT OVER $500                    
3/30/2021 ,NO TAILLIGHTS                      
2/26/2021 ,SEXUAL-ASSAULT-CRIMINAL            
4/07/2021 ,WARRANT-IN STATE                   
4/07/2021 ,BATTERY-AGG DOMESTIC               
3/23/2021 ,FIELD INTERVIEW                    
3/23/2021 ,FIELD INTERVIEW                    
3/23/2021 ,CRISIS INT - SUICIDE THREAT/ATTEMPT
3/26/2021 ,CRISIS INTERVEN. - MENTAL ILLNESS  
3/26/2021 ,FIELD INTERVIEW                    
4/06/2021 ,FIELD INTERVIEW                    
4/03/2021 ,FIELD INTERVIEW                    
4/06/2021 ,THEFT OVER $500                    
4/08/2021 ,OTHER TROUBLE/INFO RPT             
4/10/2021 ,DEATH INVESTIGATION                
3/19/2021 ,DISORDERLY CONDUCT-ALL OTHER       
3/16/2021 ,THEFT OF MOTOR VEH PARTS & ACCESS  
3/09/2021 ,CRISIS INTERVEN. - MENTAL ILLNESS  
3/09/2021 ,FIELD INTERVIEW                    
3/17/2021 ,ACCIDENT INVOLVING INJURY          
3/17/2021 ,IMPROPER LANE USAGE                
3/22/2021 ,WARRANT-IN STATE                   
3/22/2021 ,WARRANT-IN STATE                   
3/22/2021 ,WARRANT-IN STATE                   
3/22/2021 ,WARRANT-IN STATE                   
3/22/2021 ,CONTROLLED SUBSTANCE-POSSESSION    
3/22/2021 ,CONTROLLED SUBSTANCE-LOOK-ALIKE    
3/07/2021 ,FIELD INTERVIEW                    
3/21/2021 ,FIELD INTERVIEW                    
3/18/2021 ,FIELD INTERVIEW                    
3/16/2021 ,ACCIDENT HIT AND RUN               
3/16/2021 ,ACCIDENT INVOLVING NON-INJURY      
3/16/2021 ,ACCIDENT ON PRIVATE PROPERTY       
3/20/2021 ,OPERATE UNINSURED MOTOR VEHICLE    
3/20/2021 ,ACCIDENT INVOLVING NON-INJURY      
3/20/2021 ,TRAFFIC SIGNAL VIOLATION           
3/22/2021 ,BURGLARY                           
3/22/2021 ,CRIMINAL DAMAGE TO PROPERTY        
3/21/2021 ,THEFT OF LOST/MISLAID PROPERTY     
3/23/2021 ,AGG DISCHARGE OF FIREARM           
3/23/2021 ,ASSAULT-AGGRAVATED                 
3/23/2021 ,ASSAULT-AGGRAVATED                 
3/23/2021 ,ASSAULT-AGGRAVATED                 
3/23/2021 ,ASSAULT-AGGRAVATED                 
1/15/2021 ,OTHER TROUBLE/INFO RPT             
1/10/2021 ,SPEEDING (RADAR)                   
1/19/2021 ,MISSING PERSON ADULT/FEMALE        
1/13/2021 ,DECEPTIVE PRACTICES                
1/20/2021 ,THEFT $500 AND UNDER               
1/20/2021 ,THEFT OVER $500                    
1/18/2021 ,FORGERY                            
1/09/2021 ,VOID FILE NUMBER                   
1/20/2021 ,HARASSMENT BY ELECTRONIC COMMUNICAT
1/04/2021 ,ACCIDENT INVOLVING NON-INJURY      
1/04/2021 ,FAILURE TO REDUCE SPEED            
1/20/2021 ,ACCIDENT ON PRIVATE PROPERTY       
1/20/2021 ,ACCIDENT INVOLVING NON-INJURY      
1/20/2021 ,ACCIDENT HIT AND RUN               
1/21/2021 ,BURGLARY RESIDENTIAL               
1/23/2021 ,BATTERY-DOMESTIC                   
1/19/2021 ,THEFT $500 AND UNDER               
1/19/2021 ,DECEPTIVE PRACTICES                
1/24/2021 ,MOB ACTION                         
1/24/2021 ,BATTERY-AGGRAVATED                 
1/24/2021 ,HARASSMENT BY ELECTRONIC COMMUNICAT
1/24/2021 ,CRISIS INT - SUICIDE THREAT/ATTEMPT
1/20/2021 ,FAILURE TO YIELD TURNING LEFT      
1/20/2021 ,ACCIDENT INVOLVING NON-INJURY      
1/24/2021 ,CRIMINAL DAMAGE TO PROPERTY        
1/01/2021 ,ACCIDENT HIT AND RUN               
1/01/2021 ,ACCIDENT INVOLVING NON-INJURY      
1/12/2021 ,ACCIDENT HIT AND RUN               
1/12/2021 ,ACCIDENT INVOLVING NON-INJURY      
1/15/2021 ,BURGLARY RESIDENTIAL               
1/17/2021 ,IMPROPER LIGHTING/ONE HEADLIGHT    
1/16/2021 ,DISOBEY TRAFFIC SIGNAL/RR CROSSING 
1/16/2021 ,NO VALID DL LICENSE CLASSIFICATION 
1/16/2021 ,IMPROPER LIGHTING/ONE HEADLIGHT    
1/17/2021 ,THEFT-MOTOR VEHICLE                
1/17/2021 ,CRIMINAL DAMAGE TO PROPERTY        
1/10/2021 ,BATTERY-AGG DOMESTIC               
1/18/2021 ,MISSING PERSON ADULT/MALE          
1/20/2021 ,ACCIDENT INVOLVING INJURY          
1/20/2021 ,ACCIDENT ON PRIVATE PROPERTY       
1/20/2021 ,OPERATE UNINSURED MOTOR VEHICLE    
1/20/2021 ,ENDANG LIFE/HEALTH OF CHILD        
1/20/2021 ,IMPOUNDED VEHICLE                  
1/20/2021 ,ACCIDENT INVOLVING NON-INJURY      
1/20/2021 ,FAILURE TO REDUCE SPEED            
1/19/2021 ,BURGLARY FROM MOTOR VEHICLE        
1/21/2021 ,THEFT $500 AND UNDER               
1/21/2021 ,BURGLARY FROM MOTOR VEHICLE        
1/21/2021 ,BATTERY-DOMESTIC                   
1/21/2021 ,ACCIDENT INVOLVING INJURY          
1/21/2021 ,FAILURE TO REDUCE SPEED            
1/15/2021 ,OTHER INVESTIGATION QUASI-CRIMINAL 
1/21/2021 ,BATTERY -CITY                      
1/21/2021 ,THEFT-MOTOR VEHICLE                
1/23/2021 ,THEFT $500 AND UNDER               
1/25/2021 ,IMPOUNDED VEHICLE                  
1/25/2021 ,NO REGISTRATION                    
1/25/2021 ,OPERATE UNINSURED MOTOR VEHICLE    
1/25/2021 ,LOST ARTICLES                      
3/19/2021 ,REVENGE PORNOGRAPHY                
3/19/2021 ,THEFT-IDENTITY                     
3/19/2021 ,BATTERY-DOMESTIC                   
3/22/2021 ,NO VALID DL DRIVERS LICENSE        
3/22/2021 ,IMPOUNDED VEHICLE                  
3/22/2021 ,OPERATE UNINSURED MOTOR VEHICLE    
3/22/2021 ,FAILURE TO REDUCE SPEED            
3/22/2021 ,ACCIDENT INVOLVING NON-INJURY      
3/15/2021 ,OTHER TRAFFIC TICKETS              
3/15/2021 ,ACCIDENT INVOLVING NON-INJURY      
3/20/2021 ,CRISIS INTERVEN. - MENTAL ILLNESS  
3/22/2021 ,DISORDERLY CONDUCT-ALL OTHER       
3/22/2021 ,WARRANT-IN STATE                   
3/22/2021 ,TRESPASS TO LAND/REAL PROPERTY     
3/22/2021 ,USE OF FORCE BY OFFICER            
3/22/2021 ,RESIST/OBS CORRECT/POLICE/FIRE     
3/22/2021 ,FOUND ARTICLES                     
3/20/2021 ,ACCIDENT INVOLVING NON-INJURY      
3/20/2021 ,FAILURE TO REDUCE SPEED            
3/21/2021 ,WARRANT-IN STATE                   
3/22/2021 ,BURGLARY FROM MOTOR VEHICLE        
3/19/2021 ,THEFT OF LOST/MISLAID PROPERTY     
3/21/2021 ,BATTERY-DOMESTIC                   
3/21/2021 ,OTHER TROUBLE/INFO RPT             
3/22/2021 ,BATTERY                            
3/22/2021 ,BATTERY                            
3/23/2021 ,FINANCIAL EXPLOIT. ELDERLY/DISABLED
3/23/2021 ,THEFT OVER $500                    
1/16/2021 ,CRISIS INTERVEN. - OTHER           
1/16/2021 ,MENTAL CASE-TRANSPORTATION         
1/10/2021 ,SPEEDING (RADAR)                   
1/17/2021 ,IMPROPER LIGHTING/ONE HEADLIGHT    
1/17/2021 ,SPEEDING (RADAR)                   
1/17/2021 ,SPEEDING (RADAR)                   
1/15/2021 ,UNLAWFUL USE OF WEAPONS            
1/15/2021 ,DEL/MANUF CANNABIS OVER 30 G -FEL  
1/15/2021 ,PROPERTY FORFEITURE-MAINTAIN PUBLIC
1/15/2021 ,DELIVERY CONTROLLED SUB            
1/15/2021 ,RESIST/OBS CORRECT/POLICE/FIRE     
1/15/2021 ,SEARCH WARRANT SERVICE             
1/15/2021 ,USE OF FORCE BY OFFICER            
1/15/2021 ,CRIMINAL DAMAGE TO PROPERTY        
1/18/2021 ,CRIMINAL DAMAGE TO PROPERTY        
1/18/2021 ,UNLAWFUL USE OF WEAPONS            
1/18/2021 ,BATTERY-DOMESTIC                   
1/18/2021 ,ASSAULT-AGGRAVATED                 
1/18/2021 ,BATTERY-AGGRAVATED                 
1/20/2021 ,BURGLARY FROM MOTOR VEHICLE        
1/15/2021 ,VOID FILE NUMBER                   
1/21/2021 ,HARASSMENT BY ELECTRONIC COMMUNICAT
1/19/2021 ,BURGLARY FROM MOTOR VEHICLE        
1/20/2021 ,ASSAULT-AGGRAVATED                 
1/20/2021 ,BATTERY-DOMESTIC                   
1/20/2021 ,OTHER TROUBLE/INFO RPT             
1/22/2021 ,EXCITED DELIRIUM                   
1/22/2021 ,CRISIS INTERVEN. - DRUGS           
1/24/2021 ,SPEEDING (RADAR)                   
1/10/2021 ,SPEEDING (RADAR)                   
1/10/2021 ,IMPROPER LIGHTING/ONE HEADLIGHT    
1/18/2021 ,ASSAULT-AGGRAVATED                 
1/18/2021 ,UNLAWFUL USE OF WEAPONS            
1/18/2021 ,AGG DISCHARGE OF FIREARM           
