Date Occurred ,Crime Description
1/03/2019 ,SPEEDING (RADAR)                   
1/08/2019 ,FOUND ARTICLES                     
1/09/2019 ,ACCIDENT ON PRIVATE PROPERTY       
1/09/2019 ,IMPOUNDED VEHICLE                  
1/09/2019 ,ACCIDENT HIT AND RUN               
1/09/2019 ,ACCIDENT INVOLVING NON-INJURY      
1/08/2019 ,RUNAWAY - MINOR REQUIRE AUTH INTER 
1/08/2019 ,THEFT $500 AND UNDER               
1/10/2019 ,DRIVING UNDER THE INFL-ALCOHOL     
1/10/2019 ,ACCIDENT W/NON-VEH PROP DAMAGE     
1/10/2019 ,DRIVING UNDER THE INFL-ALCOHOL     
1/10/2019 ,IMPOUNDED VEHICLE                  
1/10/2019 ,IMPROPER LANE USAGE                
1/10/2019 ,ACCIDENT INVOLVING INJURY          
1/10/2019 ,ACCIDENT INVOLVING OTHER CITY PROP 
1/21/2019 ,CRISIS INTERVEN. - SUICIDE ATTEMPT 
1/22/2019 ,IMPROPER LANE USAGE                
1/22/2019 ,ACCIDENT INVOLVING NON-INJURY      
1/22/2019 ,THEFT-RETAIL                       
1/22/2019 ,THEFT-MOTOR VEHICLE                
1/23/2019 ,LEAVING SCENE PROPERTY DAMAGE      
1/23/2019 ,ACCIDENT INVOLVING NON-INJURY      
1/23/2019 ,NO VALID DL DRIVERS LICENSE        
1/23/2019 ,ACCIDENT HIT AND RUN               
1/23/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
1/23/2019 ,NO IMPOUND                         
1/23/2019 ,ACCIDENT W/NON-VEH PROP DAMAGE     
1/23/2019 ,ACCIDENT ON PRIVATE PROPERTY       
1/01/2019 ,THEFT OVER $500                    
1/17/2019 ,PROPERTY FORFEITURE-MAINTAIN PUBLIC
1/17/2019 ,SEARCH WARRANT SERVICE             
1/17/2019 ,DEL/MANUF CANNABIS OVER 30 G -FEL  
1/17/2019 ,DRUG EQUIPMENT-POSSESSION          
1/16/2019 ,BURGLARY RESIDENTIAL               
1/21/2019 ,THEFT-RETAIL                       
1/18/2019 ,OTHER EQUIPMENT VIOLATIONS         
1/17/2019 ,NO VALID DL DRIVERS LICENSE        
1/18/2019 ,TRAFFIC SIGNAL VIOLATION           
1/24/2019 ,ACCIDENT INVOLVING NON-INJURY      
1/24/2019 ,FAILURE TO REDUCE SPEED            
1/23/2019 ,ACCIDENT INVOLVING NON-INJURY      
1/23/2019 ,FAILURE TO YIELD AT INTERSECTION   
1/22/2019 ,IMPROPER USE OF REGISTRATION       
1/23/2019 ,ACCIDENT INVOLVING NON-INJURY      
1/03/2019 ,OTHER EQUIPMENT VIOLATIONS         
1/06/2019 ,FOUND ARTICLES                     
1/06/2019 ,CONTROLLED SUBSTANCE-POSSESSION    
1/06/2019 ,CONTROLLED SUBSTANCE-LOOK-ALIKE    
1/06/2019 ,RESIST/OBS CORRECT/POLICE/FIRE     
1/05/2019 ,BURGLARY RESIDENTIAL               
1/07/2019 ,FAILURE TO SIGNAL                  
1/07/2019 ,FLEEING OR ATTEMPT TO ELUDE POLICE 
1/05/2019 ,CRISIS INTERVEN. - SUICIDE ATTEMPT 
1/05/2019 ,SUICIDE BY DRUGS                   
1/06/2019 ,OTHER TRAFFIC TICKETS              
1/05/2019 ,TRAFFIC SIGNAL VIOLATION           
1/05/2019 ,IMPROPER TURN AT INTERSECTION      
1/05/2019 ,IMPROPER USE OF SIGNAL             
1/04/2019 ,SPEEDING (RADAR)                   
1/04/2019 ,IMPROPER USE OF SIGNAL             
1/04/2019 ,SPEEDING (RADAR)                   
1/07/2019 ,FIELD INTERVIEW                    
1/04/2019 ,CRISIS INTERVEN. - MENTAL ILLNESS  
1/07/2019 ,BURGLARY RESIDENTIAL               
1/08/2019 ,ACCIDENT INVOLVING NON-INJURY      
1/08/2019 ,ACCIDENT HIT AND RUN               
1/08/2019 ,RUNAWAY - MINOR REQUIRE AUTH INTER 
1/07/2019 ,EXPIRED REGISTRATION               
1/03/2019 ,SPEEDING (RADAR)                   
1/09/2019 ,FUGITIVE FROM JUSTICE              
1/03/2019 ,SPEEDING (RADAR)                   
1/04/2019 ,TRAFFIC SIGN VIOLATION             
2/08/2019 ,CRIMINAL DAMAGE TO PROPERTY        
1/04/2019 ,FIELD INTERVIEW                    
1/02/2019 ,NO REAR REGISTRATION LIGHT         
1/05/2019 ,IMPROPER USE OF SIGNAL             
1/05/2019 ,RESIST/OBS CORRECT/POLICE/FIRE     
1/05/2019 ,AVOIDED TRAFFIC CONTROL            
1/05/2019 ,SPEEDING (PACED)                   
1/03/2019 ,NO TAILLIGHTS                      
1/01/2019 ,OTHER EQUIPMENT VIOLATIONS         
1/08/2019 ,LOST ARTICLES                      
1/05/2019 ,NO TAILLIGHTS                      
1/03/2019 ,SPEEDING (RADAR)                   
1/02/2019 ,SPEEDING (RADAR)                   
1/03/2019 ,ACCIDENT INVOLVING NON-INJURY      
1/03/2019 ,ACCIDENT HIT AND RUN               
1/09/2019 ,WARRANT-IN STATE                   
1/03/2019 ,SPEEDING (RADAR)                   
1/05/2019 ,NO REAR REGISTRATION LIGHT         
1/07/2019 ,TRAFFIC SIGN VIOLATION             
1/07/2019 ,IMPROPER TURN-NOT AT INTERSECTION  
1/07/2019 ,IMPROPER USE OF SIGNAL             
1/07/2019 ,IMPROPER LANE USAGE                
1/09/2019 ,DISORDERLY CONDUCT-ALL OTHER       
1/03/2019 ,SPEEDING (RADAR)                   
1/05/2019 ,SPEEDING (RADAR)                   
2/09/2019 ,THEFT OVER $500                    
2/09/2019 ,RETAIL THEFT                       
2/09/2019 ,ROBBERY-ARMED                      
2/09/2019 ,ROBBERY                            
2/09/2019 ,IMPROPER LANE USAGE                
2/09/2019 ,RETAIL THEFT                       
2/08/2019 ,FAILURE TO REDUCE SPEED            
2/08/2019 ,ACCIDENT INVOLVING NON-INJURY      
2/10/2019 ,BATTERY-DOMESTIC                   
2/10/2019 ,BATTERY-DOMESTIC                   
2/10/2019 ,BURGLARY RESIDENTIAL               
2/09/2019 ,RUNAWAY - MINOR REQUIRE AUTH INTER 
2/10/2019 ,ACCIDENT INVOLVING NON-INJURY      
2/10/2019 ,ACCIDENT HIT AND RUN               
2/10/2019 ,ACCIDENT INVOLVING NON-INJURY      
2/10/2019 ,ACCIDENT INVOLVING OTHER CITY PROP 
2/10/2019 ,ACCIDENT W/NON-VEH PROP DAMAGE     
2/10/2019 ,IMPROPER LANE USAGE                
2/11/2019 ,CRIMINAL DAMAGE TO PROPERTY        
2/02/2019 ,CRISIS INTERVEN. - OTHER           
2/12/2019 ,BATTERY-DOMESTIC                   
2/11/2019 ,TRESPASSING                        
2/11/2019 ,PEDESTRIAN STOPS                   
2/05/2019 ,SPEEDING (RADAR)                   
2/05/2019 ,SPEEDING (RADAR)                   
2/02/2019 ,OPERATE UNINSURED MOTOR VEHICLE    
2/02/2019 ,FAIL TO NOTIFY SOS/CHANGE OF ADDRES
2/02/2019 ,SPEEDING (RADAR)                   
2/04/2019 ,ACCIDENT HIT AND RUN               
2/04/2019 ,ACCIDENT INVOLVING NON-INJURY      
2/11/2019 ,NO TAILLIGHTS                      
2/11/2019 ,OTHER EQUIPMENT VIOLATIONS         
2/10/2019 ,TRAFFIC SIGNAL VIOLATION           
2/11/2019 ,CRIMINAL DAMAGE TO PROPERTY        
2/11/2019 ,THEFT OVER $500                    
2/12/2019 ,LOST ARTICLES                      
2/11/2019 ,SPEEDING (RADAR)                   
3/12/2019 ,IMPROPER TURN AT INTERSECTION      
3/12/2019 ,SPEEDING (RADAR)                   
3/12/2019 ,SPEEDING (RADAR)                   
3/09/2019 ,MIP ALCOHOL/LIQUOR                 
3/13/2019 ,CRIMINAL DAMAGE TO PROPERTY        
3/13/2019 ,BATTERY-AGGRAVATED                 
3/13/2019 ,BATTERY-DOMESTIC                   
3/13/2019 ,ACCIDENT INVOLVING NON-INJURY      
3/13/2019 ,FAILURE TO REDUCE SPEED            
3/11/2019 ,DISORDERLY CONDUCT-ALL OTHER       
3/11/2019 ,SPEEDING (RADAR)                   
3/15/2019 ,NO VALID DL DRIVERS LICENSE        
3/15/2019 ,IMPOUNDED VEHICLE                  
